Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
dinitrophenyl-polylysine;Amino Acid, Peptide, or Protein;1;0
RNA-biotin-avidin-adduct;Organic Chemicals;1;0
4,6-anhydrogalactopyranosyl-6-O-corynomycoloylgalactopyranoside;Lipid;1;0
N-acetylglucosyl--2-mannosyl--3-mannosyl--4-glucosyl--1-ceramide;Lipid;1;0
nigerosyl-keyhole limpet hemocyanin;Amino Acid, Peptide, or Protein, Carbohydrate;1;0
omeprazole sulfone;Organic Chemicals;1;0
congopain;Amino Acid, Peptide, or Protein, Enzyme;1;0
pituitary tumor-transforming proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
2B1 monoclonal antibody;Amino Acid, Peptide, or Protein;1;0
DEVDase;Amino Acid, Peptide, or Protein, Enzyme;1;0
UK 103320;Organic Chemicals;1;0
polymalatase;Amino Acid, Peptide, or Protein, Enzyme;1;0
polypeptide PPA-80;Amino Acid, Peptide, or Protein;1;0
Legionella antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
reovirus type 3 receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
RH-antibodies;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
diphtheria-tetanus toxoids;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
seneciphylline;Organic Chemicals;1;0
Cytogam;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
sialoglycolipids;Lipid;1;0
Synagis;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
somatostatin 28, Tyr(7)-Gly(10)-;Amino Acid, Peptide, or Protein;1;0
spermosin;Amino Acid, Peptide, or Protein, Enzyme;1;0
splenopentin;Amino Acid, Peptide, or Protein;1;0
splenotritin;Amino Acid, Peptide, or Protein;1;0
Choriogonin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Thioredoxin f;Amino Acid, Peptide, or Protein;1;0
thymidylyl-(3'-5')-thymidine;Nucleic Acid, Nucleoside, or Nucleotide;1;0
thymosterin B;Lipid;1;0
triphenylmethane;Organic Chemicals;1;0
trisporic acid;Lipid;1;0
vaccin protein;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
CMDB7;Carbohydrate, Pharmacologic Substance;1;0
Alexomycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Vantocil;Organic Chemicals;1;0
trimethylantimony;Organic Chemicals;1;0
ER 27191;Organic Chemicals;1;0
Cyclic AMP-Dependent Protein Kinase RIalpha Subunit;Amino Acid, Peptide, or Protein, Enzyme;1;0
myristoyl-L-methionine;Amino Acid, Peptide, or Protein, Lipid, Pharmacologic Substance;1;0
mundticin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
versicolorin C;Organic Chemicals, Biologically Active Substance;1;0
isopimaric acid;Organic Chemicals;1;0
viridin;Steroid, Amino Acid, Peptide, or Protein;1;0
transcriptional coactivator p52;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
PD 176252;Organic Chemicals;1;0
WF 3161;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
laulimalide;Organic Chemicals;1;0
XAMR 0721;Organic Chemicals;1;0
Lar protein, Drosophila;Amino Acid, Peptide, or Protein, Enzyme;1;0
uvarigrin;Organic Chemicals;1;0
Xanthine phosphoribosyltransferase;Amino Acid, Peptide, or Protein, Enzyme;1;0
xanthoxin;Organic Chemicals, Biologically Active Substance;1;0
microthecin;Carbohydrate;1;0
beta protein, Bacteriophage lambda;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
YM 13115;Organic Chemicals;1;0
protein kinase C nu;Amino Acid, Peptide, or Protein, Enzyme;1;0
sansalvamide A;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
CEP-701;Organic Chemicals;1;0
ALTA 2341;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
pro-insulin-like growth factor I;Amino Acid, Peptide, or Protein;1;0
Tularemia Vaccine;Organic Chemicals, Pharmacologic Substance, Immunologic Factor;1;0
cystinyl-aspartyl-prolyl-glycyl-tyrosyl-isoleucyl-glycyl-seryl-arginyl-NH2;Amino Acid, Peptide, or Protein;1;0
ent-kaurene oxidase;Amino Acid, Peptide, or Protein;1;0
granulin 3;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ferrioxamine E;Amino Acid, Peptide, or Protein;1;0
HSF1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
cisplatin liposomal;Pharmacologic Substance, Inorganic Chemical;1;0
lipomannan;Lipid;1;0
mammary-derived growth factor 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
MI 1544;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
phenylacetate - CoA ligase;Amino Acid, Peptide, or Protein, Enzyme;1;0
santamarine;Organic Chemicals;1;0
Clk dual-specificity kinases;Amino Acid, Peptide, or Protein, Enzyme;1;0
Colicin Ia;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Colicin K;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
tachyplesin III;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Colicins E9;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
PM-1 Antibody;Immunologic Factor;1;0
Aluminum Oxalate;Organic Chemicals;1;0
arginine hydroxamate;Amino Acid, Peptide, or Protein;1;0
beta-chloro-D-alanine;Amino Acid, Peptide, or Protein;1;0
beta-chloro-L-alanine;Amino Acid, Peptide, or Protein;1;0
E1 protein, Bovine papillomavirus;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
calcium propionate;Organic Chemicals;1;0
cellodextrin;Carbohydrate;1;0
Antifreeze Proteins, Type I;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Antifreeze Proteins, Type III;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DISODIUM PYROPHOSPHATE;Pharmacologic Substance, Inorganic Chemical;1;0
nerol;Organic Chemicals;1;0
ovocleidin-116;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
beta-guanidine propionic acid;Organic Chemicals;1;0
eukaryotic initiation factor-5B;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Griffonia simplicifolia lectin II;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
HMGA1a Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
RAR alpha2;Amino Acid, Peptide, or Protein, Receptor;1;0
viscosinamide;Amino Acid, Peptide, or Protein;1;0
enterocin CRL35;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ISA 13-1;Organic Chemicals;1;0
RPR 130401;Organic Chemicals;1;0
RNA-cleaving DNA 10-23;Nucleic Acid, Nucleoside, or Nucleotide, Enzyme;1;0
BMS453;Organic Chemicals;1;0
JV 1-36;Organic Chemicals;1;0
chlamysin;Amino Acid, Peptide, or Protein, Enzyme;1;0
mastoparan M;Amino Acid, Peptide, or Protein;1;0
JWG 2000;Nucleic Acid, Nucleoside, or Nucleotide;1;0
TX 527;Steroid;1;0
cryptoheptine;Organic Chemicals;1;0
trizol;Organic Chemicals;1;0
brassinazole;Organic Chemicals;1;0
C4-mycophenolic adenine dinucleotide;Organic Chemicals;1;0
montanastatin;Amino Acid, Peptide, or Protein;1;0
sulfur oxide;Inorganic Chemical;1;0
Alcide;Pharmacologic Substance, Inorganic Chemical;1;0
dideoxyguanosine;Nucleic Acid, Nucleoside, or Nucleotide;1;0
fibronectinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
G-PMMA;Organic Chemicals;1;0
halocynthiaxanthin;Organic Chemicals, Biologically Active Substance;1;0
HPA 39;Pharmacologic Substance, Inorganic Chemical;1;0
Bcl-2-like protein 1;Amino Acid, Peptide, or Protein;1;0
Bcl-2-like protein 1;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 2;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 2;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 3B;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 3;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 3;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 3;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 4;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 5;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 5;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 6;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 6;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 6;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 7;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 7;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 8A;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 8A;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 8B;Amino Acid, Peptide, or Protein;1;0
Bone morphogenetic protein 8B;Amino Acid, Peptide, or Protein;1;0
G2/mitotic-specific cyclin-B2;Amino Acid, Peptide, or Protein;1;0
G2/mitotic-specific cyclin-B2;Amino Acid, Peptide, or Protein;1;0
Ciliary neurotrophic factor;Amino Acid, Peptide, or Protein;1;0
Ciliary neurotrophic factor;Amino Acid, Peptide, or Protein;1;0
Protein DVR-1;Amino Acid, Peptide, or Protein;1;0
wobe-mugos;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;1;0
didemnin B;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
itaconate;Organic Chemicals;1;0
Growth/differentiation factor 11;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 11;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 11;Amino Acid, Peptide, or Protein;1;0
Embryonic growth/differentiation factor 1;Amino Acid, Peptide, or Protein;1;0
Embryonic growth/differentiation factor 1;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 2;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 5;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 5;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 6-A;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 6-B;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 6;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 6;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 7;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 7;Amino Acid, Peptide, or Protein;1;0
Growth/differentiation factor 8;Amino Acid, Peptide, or Protein;1;0
Insulin-like growth factor-binding protein 2-A;Amino Acid, Peptide, or Protein;1;0
Inhibin beta A chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta A chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta A chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta B chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta B chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta B chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta C chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta E chain;Amino Acid, Peptide, or Protein;1;0
Inhibin beta E chain;Amino Acid, Peptide, or Protein;1;0
Nodal homolog;Amino Acid, Peptide, or Protein;1;0
Nodal;Amino Acid, Peptide, or Protein;1;0
Scaffold attachment factor B1;Amino Acid, Peptide, or Protein;1;0
Scaffold attachment factor B1;Amino Acid, Peptide, or Protein;1;0
Selenoprotein P;Amino Acid, Peptide, or Protein;1;0
Selenoprotein P;Amino Acid, Peptide, or Protein;1;0
Beta-galactoside alpha-2,6-sialyltransferase 2;Amino Acid, Peptide, or Protein;1;0
malate lyase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Vascular endothelial growth factor A;Amino Acid, Peptide, or Protein;1;0
Vacuolar protein sorting-associated protein 54;Amino Acid, Peptide, or Protein;1;0
Vacuolar protein sorting-associated protein 54;Amino Acid, Peptide, or Protein;1;0
mycobactins;Organic Chemicals;1;0
Penicillin-Binding Protein 1b;Amino Acid, Peptide, or Protein, Enzyme;1;0
calystegins;Organic Chemicals, Biologically Active Substance;1;0
SODIUM COPPER CHLOROPHYLLIN;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;1;0
saikosaponin C;Steroid;1;0
coptisine chloride;Organic Chemicals;1;0
2-hexenal, Z-isomer;Organic Chemicals, Biologically Active Substance;1;0
coelichelin;Amino Acid, Peptide, or Protein;1;0
mitotic chromosome-associated protein, 200-kDa;Amino Acid, Peptide, or Protein;1;0
Sin3 Histone Deacetylase and Corepressor Complex;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
hadrurin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
alpha-lapachone;Organic Chemicals;1;0
cyclo-acetyl-(cysteinyl-histidyl-phenylalanyl-glutaminyl-phenylalanyl-cysteinyl)amide;Amino Acid, Peptide, or Protein;1;0
Bioglass 45S5;Inorganic Chemical;1;0
falcipain 2;Amino Acid, Peptide, or Protein, Enzyme;1;0
plantaricin UG1;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
enterocin P;Amino Acid, Peptide, or Protein;1;0
MM 11254;Organic Chemicals;1;0
polyactin B;Carbohydrate, Pharmacologic Substance;1;0
friedelane;Organic Chemicals, Biologically Active Substance;1;0
1-methyl-4-dimethylaminomethyl-5-hydroxybenzimidazole dihydrochloride;Organic Chemicals, Biologically Active Substance;1;0
MG 262;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
BSF 208791;Amino Acid, Peptide, or Protein;1;0
BB3497;Organic Chemicals;1;0
Oxyrase;Amino Acid, Peptide, or Protein, Enzyme;1;0
calendic acid;Lipid;1;0
julocrotine;Organic Chemicals, Biologically Active Substance;1;0
betaE11 antigen, bovine;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
thujopsene;Organic Chemicals;1;0
tetrachloroguaiacol;Organic Chemicals;1;0
Prostatic Secretory Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
phosphoric anhydride;Inorganic Chemical;1;0
phenylthiocarbamate;Organic Chemicals;1;0
HGF-NK4 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
haliangicin;Lipid, Pharmacologic Substance;1;0
Dextran T-40;Carbohydrate, Pharmacologic Substance;1;0
saccharide receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
Secoiridoid Glucosides;Organic Chemicals;1;0
syringaldehyde;Organic Chemicals;1;0
teepol;Lipid, Pharmacologic Substance;1;0
triethyllead acetate;Organic Chemicals;1;0
Trypanosoma alternative oxidase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Uropontin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
X-5079C;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
interleukin 13 antagonist E13K;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
follicle stimulating hormone, human, with HCG C-terminal peptide;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;1;0
amphisin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
CPI-0004Na;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
terrein;Organic Chemicals;1;0
merozoite surface protein 7, Plasmodium;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
5,6-dihydro-5-hydroxy-6-prop-2-enyl-2H-pyran-2-one;Organic Chemicals;1;0
cubenol;Organic Chemicals;1;0
celogentin C;Organic Chemicals, Biologically Active Substance;1;0
licoisoflavone B;Organic Chemicals;1;0
chromium propionate;Organic Chemicals;1;0
alpha-cadinol;Organic Chemicals;1;0
furanodiene;Organic Chemicals;1;0
RC 101;Amino Acid, Peptide, or Protein;1;0
farnesylpyridinium;Lipid;1;0
pentaerythritol propoxylate;Carbohydrate;1;0
climacostol;Organic Chemicals;1;0
erythrogen;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
oscillatorin;Organic Chemicals, Biologically Active Substance;1;0
23-epi-26-deoxyactein;Steroid;1;0
marchantin C;Organic Chemicals;1;0
masticadienonic acid;Organic Chemicals;1;0
IDN 5390;Organic Chemicals;1;0
xanthomicrol;Organic Chemicals;1;0
BMS 649;Lipid;1;0
altholactone;Organic Chemicals;1;0
GTI2501;Nucleic Acid, Nucleoside, or Nucleotide;1;0
NU2058;Organic Chemicals;1;0
NU6102;Organic Chemicals;1;0
mahanine;Organic Chemicals, Biologically Active Substance;1;0
aspterric acid;Organic Chemicals;1;0
isatidine;Organic Chemicals;1;0
physalin B;Steroid;1;0
methoxyethylene-maleic anhydride copolymer;Organic Chemicals;1;0
monoacetoxyscirpenol;Organic Chemicals;1;0
isopentenol;Lipid;1;0
dracorhodin;Organic Chemicals;1;0
azurechelin;Organic Chemicals;1;0
trifloxystrobin;Organic Chemicals;1;0
bavachinin;Organic Chemicals;1;0
kresoxim-methyl;Organic Chemicals;1;0
TEI9826;Eicosanoid;1;0
exochelin MN;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
zopfiellin;Organic Chemicals, Biologically Active Substance;1;0
MST 312;Organic Chemicals;1;0
pedilstatin;Organic Chemicals;1;0
dictyostatin;Organic Chemicals;1;0
piscicolin 126;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
SRI3072;Organic Chemicals, Biologically Active Substance;1;0
cajanol;Organic Chemicals;1;0
physalin F;Steroid;1;0
CR 2093;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
CGP 76030;Organic Chemicals;1;0
byssochlamysol;Steroid;1;0
xyloglucan - xyloglucosyltransferase;Amino Acid, Peptide, or Protein, Enzyme;1;0
host cell factor, Drosophila;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
PD 166326;Organic Chemicals;1;0
sphingofungin B;Amino Acid, Peptide, or Protein, Lipid, Pharmacologic Substance;1;0
erythrose;Carbohydrate;1;0
Ro 13-6307;Lipid, Pharmacologic Substance;1;0
zaluzanin-D;Organic Chemicals;1;0
yatakemycin;Organic Chemicals;1;0
hydroxyisourate hydrolase;Amino Acid, Peptide, or Protein, Enzyme;1;0
argentatin B;Steroid;1;0
JIMB01;Organic Chemicals;1;0
ZM 447439;Organic Chemicals;1;0
alpha-methylbenzyl-s-triazine;Organic Chemicals;1;0
polycarpine;Organic Chemicals;1;0
casitone;Organic Chemicals;1;0
Formates;Organic Chemicals;1;0
Fungal Peptides;Amino Acid, Peptide, or Protein;1;0
Roi protein, Bacteriophage HK022;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
FLOT1 protein, human;Amino Acid, Peptide, or Protein;1;0
carbonic anhydrase VI;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;1;0
momilactone B;Organic Chemicals, Biologically Active Substance;1;0
beta-D-galactopyranosyl azide;Carbohydrate;1;0
PT-100 dipeptide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
GTP 14564;Organic Chemicals;1;0
cynodontin;Organic Chemicals;1;0
diaporthein B;Organic Chemicals, Biologically Active Substance;1;0
cyclo-VEGI;Amino Acid, Peptide, or Protein;1;0
cantide;Nucleic Acid, Nucleoside, or Nucleotide;1;0
SB166;Organic Chemicals;1;0
poly(ethylacrylate);Organic Chemicals;1;0
GRN163;Nucleic Acid, Nucleoside, or Nucleotide;1;0
perfluorohexanoic acid;Organic Chemicals;1;0
CMC544;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
EMD 72000;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
SNR1Drosophila protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
mSin3;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Kin protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
tetrahydroxyflavanol;Organic Chemicals;1;0
atraric acid;Organic Chemicals, Biologically Active Substance;1;0
VP35 protein, Ebola virus;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
stylostatin 1;Amino Acid, Peptide, or Protein;1;0
CG 10-248;Organic Chemicals;1;0
AE F150944;Organic Chemicals;1;0
phosphoinositide 3-phosphate;Lipid;1;0
IR6 protein, Equine herpesvirus 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
MDP1 protein, Mycobacterium;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Alternaria sp;Immunologic Factor;1;0
Boysenberry antigen;Immunologic Factor;1;0
Triplochiton scleroxylon;Immunologic Factor;1;0
Acremonium sp;Immunologic Factor;1;0
gbb protein, Drosophila;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
TZD 18;Organic Chemicals;1;0
SL11144;Organic Chemicals;1;0
FA-70C1;Amino Acid, Peptide, or Protein;1;0
arteminolide C;Organic Chemicals, Biologically Active Substance;1;0
arjunetin;Organic Chemicals;1;0
jerdonin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
orinocinolide;Organic Chemicals;1;0
PXD101;Organic Chemicals;1;0
TZS-8478;Organic Chemicals;1;0
3beta-hydroxy-kaurenoic acid;Organic Chemicals, Biologically Active Substance;1;0
naphthacene;Organic Chemicals;1;0
MYC protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
anhydroperoxycostunolide;Organic Chemicals;1;0
Mx1 protein, mouse;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
NIK-333;Organic Chemicals;1;0
BCX 2855;Carbohydrate;1;0
TOL plasmid;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
Plasmid Rts1;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
Plasmid SCP1;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
Plasmid pJP4;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
galactosyl-1,3-N-acetylglucosamine;Carbohydrate;1;0
MYBL2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
MGP protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
abscisic acid-beta-D-glucopyranosyl ester;Organic Chemicals, Biologically Active Substance;1;0
AMG531;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
iprovalicarb;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
hypsiziprenol A9;Organic Chemicals;1;0
Hydrocarbons, Alicyclic;Organic Chemicals;1;0
N-isobutyl-2E-decenamide;Organic Chemicals;1;0
smenospongine;Organic Chemicals;1;0
VIPhyb;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
PCB 118;Organic Chemicals;1;0
ER 119884;Organic Chemicals;1;0
parE Protein;Amino Acid, Peptide, or Protein, Enzyme;1;0
Monoclonal Antibody 528;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
DS 4152;Carbohydrate, Pharmacologic Substance;1;0
Recombinant Angiogenin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
labetuzumab;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
cagA protein, Helicobacter pylori;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
trifolitoxin;Amino Acid, Peptide, or Protein;1;0
iberin;Organic Chemicals;1;0
Slik protein, Drosophila;Amino Acid, Peptide, or Protein, Enzyme;1;0
1,1-bis(3'-indolyl)-1-(4-trifluoromethylphenyl)methane;Organic Chemicals;1;0
suberic bishydroxamate;Organic Chemicals;1;0
Ushercell;Carbohydrate, Pharmacologic Substance;1;0
Paired box protein Pax-7;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
monoclonal antibody RAV12;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
AMG 386;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Imino Sugars;Carbohydrate;1;0
Allomelanins;Organic Chemicals, Biologically Active Substance;1;0
INK4 Cyclin-Dependent Kinase Inhibitors;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
monosulfuron;Organic Chemicals;1;0
bidwillon B;Organic Chemicals, Biologically Active Substance;1;0
piperitone;Organic Chemicals, Biologically Active Substance;1;0
butagest;Steroid;1;0
BPI protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
guttiferone H;Organic Chemicals, Biologically Active Substance;1;0
YM 216391;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
PRND protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
IL24 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
xiaochaihu-tang;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;1;0
OSU 03012;Organic Chemicals;1;0
Matrix Metalloproteinase 17;Amino Acid, Peptide, or Protein, Enzyme;1;0
NR5A1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
cambogin;Organic Chemicals, Biologically Active Substance;1;0
lactoferrampin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
VX-944;Organic Chemicals;1;0
quinocetone;Organic Chemicals;1;0
ent-7beta,14-dihydroxy-11alpha-methoxy-18-aldehyde-11beta-20-epoxy-kaur-16-en-15-one;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;1;0
Dhvar-5;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Gastrimmune;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
RGD-tachyplesin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
lamin B3;Amino Acid, Peptide, or Protein;1;0
demycarosylturimycin H;Carbohydrate;1;0
biliverdin-IXalpha reductase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Poliovirus protease 2A;Amino Acid, Peptide, or Protein, Enzyme;1;0
feruloylputrescine;Organic Chemicals;1;0
auxin-binding protein 1;Amino Acid, Peptide, or Protein, Receptor;1;0
Nuclear Respiratory Factors;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DV 7751a;Organic Chemicals;1;0
Pseudomonas aeruginosa autoinducer;Organic Chemicals;1;0
farnesylamine;Lipid, Pharmacologic Substance;1;0
AMP-activated protein kinase kinase;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;1;0
cis-jasmone;Organic Chemicals, Biologically Active Substance;1;0
ranalexin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
bleomycin N-acetyltransferase;Amino Acid, Peptide, or Protein, Enzyme;1;0
cryptophycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
vacuolar processing enzyme;Amino Acid, Peptide, or Protein, Enzyme;1;0
Hypophosphites;Chemical Viewed Structurally;1;0
Vinyl fibers;Organic Chemicals;1;0
Alkadienes;Organic Chemicals;1;0
solasonine;Organic Chemicals, Pharmacologic Substance, Biologically Active Substance;1;0
leucyl-glycyl-glycine;Amino Acid, Peptide, or Protein;1;0
maltose-6'-phosphate glucosidase;Amino Acid, Peptide, or Protein, Enzyme;1;0
2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one;Organic Chemicals;1;0
dirhamnolipid;Lipid, Pharmacologic Substance;1;0
mammastatin;Amino Acid, Peptide, or Protein;1;0
lariciresinol;Organic Chemicals;1;0
hernandezine;Organic Chemicals;1;0
tecogalan;Carbohydrate, Pharmacologic Substance;1;0
benzyloxycarbonylleucyl-leucyl-tyrosine diazomethyl ketone;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
leucocin B-Ta11a;Amino Acid, Peptide, or Protein;1;0
ponicidin;Organic Chemicals;1;0
Hap protein, Hemophilus influenzae;Amino Acid, Peptide, or Protein, Enzyme;1;0
